vid,gz_state,gz_district,gz_taluka,gz_village,gz_village_raw,gz_sno,esa_category,bifurcated,notified_forest,cen_village,cen_subdistrict,cen_district,censuscode,lgd_villagecode,score,scope,area_km2
608968,KARNATAKA,Chikmagalur,Koppa,Honagaru,Honagaru,126,whole_village,False,False,Honagaru,Koppa,Chikkamagaluru,608968,608968,100.0,dist+tal,1.224
609020,KARNATAKA,Chikmagalur,Koppa,Hosuru,Hosuru,127,whole_village,False,False,Hosuru,Koppa,Chikkamagaluru,609020,609020,100.0,dist+tal,11.443
609031,KARNATAKA,Chikmagalur,Koppa,Huligaradi,Huligaradi,128,whole_village,False,False,Huligaradi,Koppa,Chikkamagaluru,609031,609031,100.0,dist+tal,5.798
608995,KARNATAKA,Chikmagalur,Koppa,Kagga,Kagga,129,whole_village,False,False,Kagga,Koppa,Chikkamagaluru,608995,608995,100.0,dist+tal,1.504
609035,KARNATAKA,Chikmagalur,Koppa,Kalgundi,Kalgundi,130,whole_village,False,False,Kallugudde,Koppa,Chikkamagaluru,609035,609035,85.7,dist+tal,20.197
609016,KARNATAKA,Chikmagalur,Koppa,Karimane,Karimane,131,whole_village,False,False,Karimane,Koppa,Chikkamagaluru,609016,609016,100.0,dist+tal,5.063
608992,KARNATAKA,Chikmagalur,Koppa,Kelakuli,Kelakuli,132,whole_village,False,False,Kelakuli,Koppa,Chikkamagaluru,608992,608992,100.0,dist+tal,15.808
608999,KARNATAKA,Chikmagalur,Koppa,Kesave,Kesave,133,whole_village,False,False,Kesave,Koppa,Chikkamagaluru,608999,608999,100.0,dist+tal,6.486
608994,KARNATAKA,Chikmagalur,Koppa,Kumbarkoppa,Kumbarkoppa,134,whole_village,False,False,Kumbarkoppa,Koppa,Chikkamagaluru,608994,608994,100.0,dist+tal,4.831
609004,KARNATAKA,Chikmagalur,Koppa,Kunchur,Kunchur,135,whole_village,False,False,Kunchur,Koppa,Chikkamagaluru,609004,609004,100.0,dist+tal,6.08
